,stepsize_inv,omega,iterations,error
0,8,0.1,1998,9.958145924165065e-11
1,8,0.2,981,9.832643423044402e-11
2,8,0.3,631,9.737267170812065e-11
3,8,0.4,452,9.78737715538009e-11
4,8,0.5,343,9.703897679044715e-11
5,8,0.6,269,9.789580603336372e-11
6,8,0.7,216,9.210849251458697e-11
7,8,0.7999999999999999,175,9.287520728243456e-11
8,8,0.8999999999999999,143,8.641835995240891e-11
9,8,0.9999999999999999,116,9.296240342703555e-11
10,8,1.0999999999999999,94,8.233266546175351e-11
11,8,1.2,74,8.726174853316775e-11
12,8,1.3,56,6.805064183957328e-11
13,8,1.4,32,5.260391144470695e-11
14,8,1.5,40,9.849957234810723e-11
15,8,1.5999999999999999,55,7.107294791547923e-11
16,8,1.7,78,9.879675937695009e-11
17,8,1.8,124,8.658393123693436e-11
18,8,1.9,264,6.99022223787051e-11
19,8,2.0,100000,83.86611448387903
20,16,0.1,8948,9.995531482618199e-11
21,16,0.2,4394,9.961678553628802e-11
22,16,0.3,2827,9.962674220681766e-11
23,16,0.4,2028,9.914954723417047e-11
24,16,0.5,1541,9.870975709676457e-11
25,16,0.6,1212,9.8217162289462e-11
26,16,0.7,974,9.803274299343574e-11
27,16,0.7999999999999999,793,9.913545669115113e-11
28,16,0.8999999999999999,651,9.910829855194356e-11
29,16,0.9999999999999999,536,9.927439180208893e-11
30,16,1.0999999999999999,441,9.767559611231361e-11
31,16,1.2,360,9.957636563838142e-11
32,16,1.3,291,9.454529925671825e-11
33,16,1.4,229,9.918702266508552e-11
34,16,1.5,173,9.982761995158098e-11
35,16,1.5999999999999999,118,9.67601767586715e-11
36,16,1.7,83,8.916265886506223e-11
37,16,1.8,131,9.525807357369568e-11
38,16,1.9,269,9.464448114097134e-11
39,16,2.0,100000,202.49357680873254
40,32,0.1,37486,9.999942991509549e-11
41,32,0.2,18412,9.990085374369723e-11
42,32,0.3,11849,9.996405737147263e-11
43,32,0.4,8501,9.996143560952052e-11
44,32,0.5,6461,9.982278122324783e-11
45,32,0.6,5083,9.97928585167307e-11
46,32,0.7,4087,9.995190412237208e-11
47,32,0.7999999999999999,3333,9.95119571684848e-11
48,32,0.8999999999999999,2740,9.950350129986501e-11
49,32,0.9999999999999999,2261,9.938037914249439e-11
50,32,1.0999999999999999,1865,9.94497372857152e-11
51,32,1.2,1532,9.880297419202796e-11
52,32,1.3,1246,9.983338021539957e-11
53,32,1.4,999,9.771132712415805e-11
54,32,1.5,780,9.856019516323758e-11
55,32,1.5999999999999999,584,9.799024913135795e-11
56,32,1.7,403,9.577108442055182e-11
57,32,1.8,212,9.967825012571535e-11
58,32,1.9,278,8.429572774197741e-11
59,32,2.0,100000,355.3426387251858
60,64,0.1,100000,9.008402364769857e-08
61,64,0.2,74752,9.987960120487879e-11
62,64,0.3,48112,9.997796755416976e-11
63,64,0.4,34520,9.992866174425765e-11
64,64,0.5,26238,9.999293057315995e-11
65,64,0.6,20645,9.992918699407417e-11
66,64,0.7,16604,9.991029388421425e-11
67,64,0.7999999999999999,13542,9.972590891096564e-11
68,64,0.8999999999999999,11135,9.990761070255633e-11
69,64,0.9999999999999999,9192,9.997801224508796e-11
70,64,1.0999999999999999,7588,9.974906603400657e-11
71,64,1.2,6238,9.967936617780946e-11
72,64,1.3,5084,9.960443918666957e-11
73,64,1.4,4084,9.991394939639182e-11
74,64,1.5,3208,9.924303793826793e-11
75,64,1.5999999999999999,2429,9.9644989374452e-11
76,64,1.7,1729,9.858881781304795e-11
77,64,1.8,1083,9.967673502831961e-11
78,64,1.9,401,9.638778742680386e-11
79,64,2.0,100000,669.7421543947077
80,128,0.1,100000,0.0012307642770564866
81,128,0.2,100000,7.204609144033677e-05
82,128,0.3,100000,2.0996195692403603e-06
83,128,0.4,100000,3.3111020563829755e-08
84,128,0.5,100000,2.7076138268387373e-10
85,128,0.6,82566,9.977390498514771e-11
86,128,0.7,66407,9.981887408653533e-11
87,128,0.7999999999999999,54159,9.997849173225037e-11
88,128,0.8999999999999999,44539,9.993355151464745e-11
89,128,0.9999999999999999,36774,9.957324610432942e-11
90,128,1.0999999999999999,30358,9.998702243040784e-11
91,128,1.2,24962,9.985039026846266e-11
92,128,1.3,20353,9.981309378429871e-11
93,128,1.4,16358,9.985646740942605e-11
94,128,1.5,12863,9.990812836457883e-11
95,128,1.5999999999999999,9766,9.959833558716069e-11
96,128,1.7,6987,9.973242798749791e-11
97,128,1.8,4467,9.99220099698863e-11
98,128,1.9,2113,9.979113286761593e-11
99,128,2.0,100000,1276.2942801716927
100,256,0.1,100000,3.5867574892475296
101,256,0.2,100000,0.10329582027451192
102,256,0.3,100000,0.005338126948031822
103,256,0.4,100000,0.0023088183245514593
104,256,0.5,100000,0.0008696099411663394
105,256,0.6,100000,0.00026365525732790536
106,256,0.7,100000,6.254624571747602e-05
107,256,0.7999999999999999,100000,1.1074328872103791e-05
108,256,0.8999999999999999,100000,1.364683077598732e-06
109,256,0.9999999999999999,100000,1.057488934677513e-07
110,256,1.0999999999999999,100000,4.439395826051238e-09
111,256,1.2,99492,9.902935820190982e-11
112,256,1.3,81113,9.930229287741211e-11
113,256,1.4,65241,9.84712680498803e-11
114,256,1.5,51357,9.92289598322432e-11
115,256,1.5999999999999999,38994,9.884749108663448e-11
116,256,1.7,28027,9.881465752491337e-11
117,256,1.8,18148,9.878132105375113e-11
118,256,1.9,9091,9.91598565566167e-11
119,256,2.0,100000,2484.2915135726066
