,epsilon,h,l_squared_error
0,1.0,0.125,0.06059912036280332
1,1.0,0.0625,0.02923110853191271
2,1.0,0.03125,0.014335522292949793
3,1.0,0.015625,0.0070960461955678405
4,1.0,0.0078125,0.0035298748686123723
5,1.0,0.00390625,0.0017603725456917826
6,0.01,0.125,0.3634803043810481
7,0.01,0.0625,0.22794087465362245
8,0.01,0.03125,0.13795839833720727
9,0.01,0.015625,0.07797517421534222
10,0.01,0.0078125,0.04143240509731094
11,0.01,0.00390625,0.02133523700563932
12,0.0001,0.125,0.3927647864284364
13,0.0001,0.0625,0.26430711085933983
14,0.0001,0.03125,0.18155450300922726
15,0.0001,0.015625,0.12611593218878286
16,0.0001,0.0078125,0.08794769348149864
17,0.0001,0.00390625,0.06117696639951013
18,1e-06,0.125,0.39307936719926856
19,1e-06,0.0625,0.26472716264330587
20,1e-06,0.03125,0.18213019326277297
21,1e-06,0.015625,0.12691518009029756
22,1e-06,0.0078125,0.08906214858557637
23,1e-06,0.00390625,0.062727134105879
