,h,epsilon,iters,l_squared_error
0,0.125,1.0,9,0.024854154593711934
1,0.0625,1.0,17,0.039859689808748426
2,0.03125,1.0,33,0.06260323327097166
3,0.015625,1.0,65,0.07565673447481494
4,0.0078125,1.0,129,0.08260174840725468
5,0.00390625,1.0,257,0.08618999520239667
6,0.125,0.01,9,0.3634798929443055
7,0.0625,0.01,17,0.22794039136397584
8,0.03125,0.01,33,0.13795272122180158
9,0.015625,0.01,65,0.07748850129444956
10,0.0078125,0.01,129,0.0708025063092859
11,0.00390625,0.01,257,0.26253541124278984
12,0.125,0.0001,4,0.3927647864282238
13,0.0625,0.0001,5,0.2643071108590535
14,0.03125,0.0001,7,0.18155450300913734
15,0.015625,0.0001,10,0.12611593218864986
16,0.0078125,0.0001,16,0.087947693481287
17,0.00390625,0.0001,31,0.06117696639943845
18,0.125,1e-06,2,0.3930793671992462
19,0.0625,1e-06,2,0.264727162642779
20,0.03125,1e-06,3,0.18213019326276833
21,0.015625,1e-06,3,0.1269151800897674
22,0.0078125,1e-06,4,0.08906214858534686
23,0.00390625,1e-06,6,0.0627271341058668
